Country,Colony,Province or Region,Latitude,Longitude,Protection status,Individuals,Lower 95% CI,Upper 95% CI,Survey Year,Source,Comments
Canada,Gannet Clusters,Labrador,54,-57,Seabird Ecological Reserve,present,,,1999,Robertson and Elliot (2002),
Canada,"Double Island, Island #1 West of Saint Peter Islands",Labrador,52,-55.7322,,260,260,260,1978,Brown and Lock (1979),
Canada,Herring Islands,Labrador,54,-57.0988,,10,10,10,1978,Brown and Lock (1979),
Canada,Bird Island (Labrador South),Labrador,54,-56.2488,,6,6,6,1978,Brown and Lock (1979),
Canada,White Head Island (Grand Manan Archipelago),New Brunswick,45,-67,,present,,,1935,Wilhelm (2017),
Canada,Hay Island (Grand Manan Archipelago),New Brunswick,45,-67,Private Research Station,present,,,2001,Ronconi and Wong (2003),
Canada,North Green Island (Grand Manan Archipelago),New Brunswick,45,-67,,present,,,2001,Ronconi and Wong (2003),
Canada,Outer Wood Island (Grand Manan Archipelago),New Brunswick,45,-66.8191,,present,,,2001,Ronconi and Wong (2003),
Canada,South Green Island (Grand Manan Archipelago),New Brunswick,45,-67,,present,,,2001,Ronconi and Wong (2003),
Canada,Wood Island (Grand Manan Archipelago),New Brunswick,45,-67,,present,,,2001,Ronconi and Wong (2003),
Canada,Kent Island (Grand Manan Archipelago),New Brunswick,45,-67,Private Research Station,"43,286","33,886","52,686",2018,d'Entremont (2020),
Canada,Machias Seal Island,New Brunswick,45,-67,Migratory Bird Sanctuary,300,300,300,2017,Diamond unpubl. data,
Canada,"Duck Island, North (near Fogo)",NF,50,-54,,present,,,1975,Cairns et al. (1989),
Canada,Grassy Islands,NF,50,-55,,present,,,1975,Cairns et al. (1989),
Canada,Seals Nest Islets,NF,50,-54,,present,,,1975,Cairns et al. (1989),
Canada,White Island (Notre Dame Bay),NF,50,-54,,present,,,1975,Cairns et al. (1989),
Canada,Baccalieu Island,NF,48,-52.7988,Seabird Ecological Reserve,"3,909,786","3,366,772","4,487,714",2013,Wilhelm et al. (2020),
Canada,Gull Island (Witless Bay),NF,47,-53,Seabird Ecological Reserve,"577,080","478,486","675,674",2022,Wilhelm et al. unpubl. Data,
