"Colony","mean_count","recent_count","first_survey","last_survey","n_surveys","lat","lon"
"Bacalhao, NL",89.3333333333333,66,1978,2010,3,54.44997,-57.16547
"Puffin Islands, NL",2566,1238,1978,2002,2,54.41663,-57.38215
"Tinker, NL",43.3333333333333,10,1978,2010,3,54.41663,-57.26548
"North Green, NL",5956,8338,1978,2010,3,54.39997,-57.31548
"Herring Island 1, NL",6454,3944,1978,2010,2,54.3362,-57.09195
"Herring Island 2, NL",17409,17966,1978,2010,2,54.32579,-57.09448
"Herring Island 3, NL",6252,4490,1978,2010,2,54.3215,-57.11595
"Gannet Clusters 2, NL",12658.8,14132,1978,2015,5,53.94577,-56.50814
"Gannet Clusters 3, NL",9660.4,844,1978,2018,5,53.94227,-56.50676
"Gannet Clusters 4, NL",17070.8,12560,1978,2015,5,53.94097,-56.51401
"Gannet Clusters 6, NL",1324.5,398,1983,2018,4,53.94005,-56.56363
"Gannet Clusters 5, NL",12553.2,9164,1978,2018,5,53.93537,-56.52008
"NorthShore MB Sanctuaries , QC",29287.6363636364,34441,1965,2022,11,50.19371,-62.005211
"Small Island, NL",33371.6368,33718,1979,2018,5,49.57989,-53.77882
"Coleman Island, NL",12914,25298,1979,2018,2,49.5549,-53.8173
"South Penguin Island, NL",10386,17762,1979,2018,2,49.43322,-53.79049
"North Bird Island, NL",10391,18782,1985,2019,2,48.63368,-53.01548
"Baccalieu Island, NL",89837,150000,1979,2005,4,48.11655,-52.79882
"Gull Island, NL",172979,336190,1979,2023,6,47.2622,-52.7737
"Pee Pee Island, NL",3150,3700,1979,2010,2,47.19155,-52.83718
"Great Island, NL",323484.8,348982,1979,2011,5,47.18734,-52.81397
"Machias Seal Island, NB",5255,17270,1965,2019,20,44.50182,-67.10187
