"Colony","mean_count","recent_count","first_survey","last_survey","n_surveys","lat","lon"
"Small Island, NL",9234,3156,1973,2018,5,49.5798,-53.7788
"Coleman Island, NL",7604,5812,1979,2018,3,49.5498,-53.8155
"South Penguin Island, NL",16891.3333333333,17074,1979,2018,3,49.4332,-53.7905
"Baccalieu Island, NL",6787328.25464,3858181.2732,1984,2023,4,48.1165,-52.7988
"Gull Island, NL",633622.571428571,577080,1973,2022,7,47.2383,-52.7804
"Great Island, NL",436994.8,283496,1973,2022,5,47.1873,-52.814
"Green Island, NL",133768.8,87708,1978,2022,5,46.8776,-56.0899
"Middle Lawn Island, NL",26719.6666666667,21580,1974,2016,6,46.8692,-55.6158
"Country Island, NS",70649.3333333333,72614,1997,2023,3,45.1018,-61.5426
"Little White Island, NS",8201,11118,1971,2017,2,44.8935,-62.1
"Kent Island, NB",44039.3333333333,43286,1966,2018,3,44.5852,-66.7583
"Bon Portage, NS",98456.4,77832,1983,2017,5,43.4689,-65.7511
