"run","trend_true","trend_est_q025","trend_est_q500","trend_est_q975","cov","max_Rhat","n_counts","n_counts_w_SE"
1,-0.32607415747512,-1.24019754938022,-0.307567039973294,0.554751276777065,TRUE,1.02663050131185,33,22
2,0.981114260423244,-0.423104623684138,0.681175669184519,2.17416334161457,TRUE,1.28473388008272,36,24
3,0.37510073200957,-0.888427978901836,0.0109811539899529,0.759727510291779,TRUE,1.03068593669469,36,24
4,-0.558310023994213,-1.34941752349764,0.0512354145731919,1.46964410693396,TRUE,1.07120326583143,37,25
5,0.171407200259477,-1.06323313769148,-0.0875207899222297,0.955802913429928,TRUE,1.03283312956942,40,26
6,0.0582571041080282,0.511960311463802,1.62788506185373,2.80127467856752,FALSE,1.0615624164989,33,22
7,0.274682107883928,-0.16633783269132,0.861635752696477,2.00156146124494,TRUE,1.21833801613183,32,21
8,0.231073142504234,-0.792685597070317,0.13855906353234,1.03483035705936,TRUE,1.02063395929355,34,23
9,-0.713141512338888,-1.28287067836057,-0.664406832580228,-0.0153821429756201,TRUE,1.03481756879154,42,28
10,0.999666381899478,-0.778923156475742,0.729075497625364,2.60901825985372,TRUE,1.17247001808359,27,18
11,0.802863325314629,-0.127750259919762,0.766693448686562,1.5882385644822,TRUE,1.03784070210827,30,20
12,-1.98214266863544,-2.77530202153049,-1.78790245278149,-0.787679372421075,TRUE,1.03713356179651,30,20
13,1.21703199278662,-0.440058253801911,0.707502312912067,1.78429407375708,TRUE,1.02007494034789,37,25
14,-0.796022332612067,-1.43459140029288,-0.321501869984947,0.803053147071032,TRUE,1.02415055034383,41,27
15,2.02873501440086,0.842519095459791,1.91478173288784,3.03633805434404,TRUE,1.04171191815066,37,25
16,-0.0368478380452397,-0.965939550971338,0.310551895564293,1.57007040801772,TRUE,1.01603651970444,42,28
17,-3.05508122162788,-4.12643530560889,-2.61300435451053,-1.39486677160653,TRUE,1.05916436216448,32,21
18,2.91627729163169,-1.35775623245774,1.19009198919441,3.25309161248382,TRUE,1.23096490275884,37,25
19,2.46094418444065,1.4095897566751,2.44873388873741,3.40955876088297,TRUE,1.04183515985876,39,26
20,-1.13377932409199,-2.37577330948457,-1.28802026530866,-0.0813258818404317,TRUE,1.07699211705371,38,25
21,0.746880150862927,-0.880078897940977,0.652525216362343,2.3527720670598,TRUE,1.0228639636029,49,32
22,-1.19485993412157,-1.5158279890611,-0.497816212202162,0.4780024842506,TRUE,1.01857778196227,39,26
23,3.02984063533878,1.60778800581355,3.31495277122822,5.10681503260608,TRUE,1.0674188597182,28,19
24,-0.930507879035114,-2.90336111196527,-1.88353646392155,-0.96758550075953,FALSE,1.04693837210458,34,23
25,0.0106351287952444,-1.57696706444277,-0.566702370132549,0.30577944067432,TRUE,1.03102520675159,31,21
26,0.881647012634423,0.683119876362328,1.8921426363655,3.04323128910818,TRUE,1.25449623932886,36,24
27,5.18926240261484,0.199272099110526,2.96215196847186,4.52626156877581,FALSE,2.20397008770631,41,27
28,0.162539060011824,-1.00883323011606,0.77579250894052,2.13350753327935,TRUE,1.03371518648823,41,27
29,1.1465411764227,-0.773251945557766,0.537070024254682,1.74624535406786,TRUE,1.05242683593394,39,26
